Model:	LI-7810
SN:	TG10-01100
Software Version:	2.0.25
Timestamp:	2021-05-06 11:53:37
Timezone:	Europe/Helsinki
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1620291258	9543895	178	256	2021-05-06	11:54:18	nan	nan	nan	59.4839	21.0141	59.3671	43.5177	0	0	20.8624	-16000	0	15.4471	240
DATA	1620291259	9543895	182	256	2021-05-06	11:54:19	nan	nan	nan	59.5623	21.0449	59.4463	43.5177	0	0	20.8857	-16000	0	15.4444	248
DATA	1620291260	9257078	186	256	2021-05-06	11:54:20	nan	nan	nan	59.6411	21.0755	59.5255	43.5177	0	0	20.9087	-16000	0	15.4448	227
DATA	1620291261	9257078	190	256	2021-05-06	11:54:21	nan	nan	nan	59.7231	21.1059	59.6039	43.5177	0	0	20.9322	-16000	0	15.4467	217
DATA	1620291262	9257078	194	256	2021-05-06	11:54:22	nan	nan	nan	59.8011	21.1368	59.6847	43.5177	0	0	20.9563	-16000	0	15.4436	233
DATA	1620291263	9257078	198	256	2021-05-06	11:54:23	nan	nan	nan	59.8811	21.1666	59.7648	43.5177	0	0	20.9796	-16000	0	15.4448	  3
DATA	1620291264	9257078	202	256	2021-05-06	11:54:24	nan	nan	nan	59.9603	21.1963	59.844	43.5177	0	0	21.0031	-16000	0	15.4463	161
DATA	1620291265	9257078	206	256	2021-05-06	11:54:25	nan	nan	nan	60.0326	21.2229	59.9162	43.5177	0	0	21.0243	-16000	0	15.4452	201
DATA	1620291266	9257078	210	256	2021-05-06	11:54:26	nan	nan	nan	60.1138	21.2525	59.9967	43.5177	0	0	21.0478	-16000	0	15.4459	229
DATA	1620291267	9257078	214	256	2021-05-06	11:54:27	nan	nan	nan	60.1947	21.2814	60.0775	43.5177	0	0	21.0711	-16000	0	15.442	154
DATA	1620291268	8969068	218	256	2021-05-06	11:54:28	nan	nan	nan	60.2734	21.3109	60.1583	43.5177	0	0	21.0947	-16000	0	15.4424	222
DATA	1620291269	8969068	222	256	2021-05-06	11:54:29	nan	nan	nan	60.3547	21.3396	60.2383	43.5177	0	0	21.1187	-16000	0	15.442	174
DATA	1620291270	8969068	226	256	2021-05-06	11:54:30	nan	nan	nan	60.4343	21.3677	60.3184	43.5177	0	0	21.1425	-16000	0	15.4416	207
DATA	1620291271	8969068	230	256	2021-05-06	11:54:31	nan	nan	nan	60.5147	21.3959	60.4	43.518	0	0	21.1659	-16000	0	15.4428	 12
DATA	1620291272	8969068	234	256	2021-05-06	11:54:32	nan	nan	nan	60.5968	21.4235	60.4792	43.5177	0	0	21.1894	-16000	0	15.4412	227
DATA	1620291273	8969068	238	256	2021-05-06	11:54:33	nan	nan	nan	60.6744	21.4498	60.5584	43.5178	0	0	21.2119	-16000	0	15.4389	242
DATA	1620291274	8969068	242	256	2021-05-06	11:54:34	nan	nan	nan	60.7507	21.4764	60.636	43.5182	0	0	21.2341	-16000	0	15.4389	170
DATA	1620291275	8677959	246	256	2021-05-06	11:54:35	nan	nan	nan	60.8323	21.5043	60.7172	43.5178	0	0	21.2575	-16000	0	15.4381	225
DATA	1620291276	8677959	250	256	2021-05-06	11:54:36	nan	nan	nan	60.9152	21.5313	60.7989	43.5178	0	0	21.2809	-16000	0	15.4404	235
